№,級,給料月額,扶養手当月額,地域手当月額,住居手当月額,通勤手当月額,特殊勤務手当,超過勤務手当,休日給,夜勤手当,管理職手当月額,宿日直手当,管理職員特別勤務手当,給与月額,期末手当年額（昨年度）,勤勉手当年額（昨年度）,【参考】年間給与
15,”03,353100,0,52965,30100,4200,0,3234,0,0,0,0,0,443599,1055768,649703,7028659
34,”03,364200,0,54630,0,2000,0,30024,0,0,0,0,0,450854,1088957,670127,7169332
35,”03,364200,0,54630,15300,6330,0,13344,0,0,0,0,0,453804,1088957,670127,7204732
36,”04,395800,0,59370,15300,4200,0,33930,0,0,0,0,0,508600,1301785,801098,8206083
50,”06,426307,11200,77771,9800,17564,0,0,0,0,80967,0,0,623609,1531405,921794,9936507
51,”06,426307,21800,79361,9800,20917,0,0,0,0,80967,0,0,639152,1563099,921794,10154717
56,”04,389200,0,58380,0,2000,0,25809,0,0,0,0,0,475389,1088957,670127,7463752
57,”05,411000,0,61650,15300,4200,0,41866,0,0,0,0,0,534016,1351778,831863,8591833
58,”03,364200,0,54630,9800,8154,0,40032,0,0,0,0,0,476816,1137395,670127,7529314
60,”04,370600,0,55590,0,7100,2100,36928,29328,0,0,0,0,501646,1163497,715998,7899247
61,”03,353100,0,52965,9800,10000,0,7117,27944,0,0,0,0,460926,1055768,649703,7236583
62,”04,370600,0,55590,0,4200,0,0,0,0,0,0,0,430390,1055768,649703,6870151
64,”06,426307,14000,78191,9800,10000,0,0,0,0,80967,0,12000,631265,1539777,921794,10036751
67,”03,364200,14000,56730,9800,10000,0,26020,18015,12673,0,0,0,511438,1130817,670127,7938200
71,”07,434483,26800,82755,9800,7100,0,0,0,0,90423,0,0,651361,1631062,954417,10401811
72,”04,370600,26800,59610,15300,2000,0,0,0,0,0,0,0,474310,1243628,715998,7651346
81,”06,426307,11200,77771,15300,0,0,0,0,0,80967,0,0,611545,1531405,921794,9791739
88,”03,364200,14000,56730,9800,7100,1040,29356,14412,7337,0,0,0,503975,1130817,670127,7848644
89,”08,462654,26800,89670,15300,10681,0,0,0,0,108350,0,0,713455,1508722,1185483,11255665
